t,x,v/x',XF-x
-10,0,15,49.75062189
-9.75,3.712389463,14.75807846,51.03187108
-9.5,7.377444332,14.60729296,52.36012273
-9.25,11.01489939,14.52726424,53.71561545
-9,14.64022967,14.50283637,55.08284464
-8.75,18.26566491,14.52236304,56.44954771
-8.5,21.90089513,14.5766621,57.80599794
-8.25,25.5535802,14.65834944,59.14449446
-8,29.22973044,14.76139799,60.45898082
-7.75,32.9339997,14.88083535,61.74475128
-7.5,36.66991686,15.01252967,62.99821826
-7.25,40.44007294,15.15303337,64.21672414
-7,44.24627511,15.29946574,65.39838583
-6.75,48.08967544,15.44942204,66.5419644
-6.5,51.97087972,15.60090132,67.64675418
-6.25,55.89004026,15.75224749,68.71248748
-6,59.84693535,15.90210002,69.739252
-5.75,63.84103742,16.04935182,70.72741876
-5.5,67.87157152,16.19311248,71.67757876
-5.25,71.93756514,16.33267576,72.59048696
-5,76.03789041,16.46749026,73.46701202
-4.75,80.17129931,16.59713271,74.30809089
-4.5,84.33645248,16.72128318,75.11468637
-4.25,88.53194208,16.83970158,75.88774642
-4,92.75630882,16.95220487,76.62816305
-3.75,97.00805342,17.05864403,77.33672821
-3.5,101.2856422,17.15887958,78.01408312
-3.25,105.587506,17.25275401,78.66065582
-3,109.9120326,17.34005835,79.27657914
-2.75,114.2575481,17.42048897,79.86157698
-2.5,118.6222882,17.49358773,80.41479981
-2.25,123.0043496,17.55865487,80.93457819
-2,127.401617,17.61461617,81.41804315
-1.75,131.8116486,17.65981351,81.86052917
-1.5,136.2314976,17.69166687,82.25462418
-1.25,140.6574279,17.7061247,82.58866683
-1,145.0844603,17.69679204,82.84447189
-0.75,149.5056552,17.6536794,82.99434475
-0.5,153.911046,17.5619445,82.99878401
-0.25,158.2863356,17.40244536,82.80978238
0,162.6121741,17.15809394,82.38782588
0.25,166.8659284,16.82693616,81.73018961
0.5,171.0270037,16.42946953,80.88282632
0.75,175.0823176,15.99823602,79.91768242
1,179.0274255,15.5620743,78.90150669
1.25,182.8641112,15.13961708,77.88198349
1.5,186.5975595,14.74049443,76.88856233
1.75,190.2344241,14.36850217,75.93775376
2,193.7817429,14.02417942,75.03791726
2.25,197.246388,13.70643094,74.19253975
2.5,200.6348148,13.4134447,73.40227321
2.75,203.9529689,13.14318013,72.6661562
3,207.2062744,12.89361419,71.98233732
3.25,210.3996597,12.6628559,71.34850218
3.5,213.5376005,12.44919113,70.76212482
3.75,216.6241668,12.25109162,70.22061478
4,219.6630698,12.06720657,69.72140203
4.25,222.6577041,11.89634647,69.26198443
4.5,225.6111858,11.73746444,68.83995301
4.75,228.5263865,11.58963757,68.45300371
5,231.405961,11.45204965,68.09894139
5.25,234.2523729,11.32397562,67.77567919
5.5,237.0679147,11.20476802,67.48123555
5.75,239.8547264,11.09384535,67.21372982
6,242.6148098,10.99068204,66.97137754
6.25,245.3500422,10.89480002,66.75248552
6.5,248.0621867,10.80576166,66.5554472
6.75,250.7529016,10.72316374,66.37873821
7,253.4237486,10.64663254,66.22091237
7.25,256.0761991,10.57581966,66.08059799
7.5,258.7116406,10.51039861,65.95649452
7.75,261.3313815,10.45006197,65.84736951
8,263.9366554,10.39451909,65.75205584
8.25,266.5286255,10.34349416,65.66944915
8.5,269.1083876,10.29672467,65.5985055
8.75,271.6769735,10.25396017,65.53823915
9,274.2353538,10.21496122,65.48772052
9.25,276.7844407,10.17949864,65.44607417
9.5,279.3250902,10.14735282,65.41247691
9.75,281.8581046,10.1183132,65.38615599
10,284.3842347,10.09217793,65.36638723
